"search-number","evaluation","memory*","nchpercent*","trustindexmean*","initialexperience*","carepatchmean*","carefarmermean*","careothersmean*","fitness","num-replicates","best-fitness-so-far","best-fitness-rechecked"
"1","10","17","0.6900000000000001","0.8200000000000001","6.7","0.68","0.15","0.1","0.2631691920841527","10","0.2631691920841527","0.27307795349015435"
"1","20","11","0.49","0.76","7.1","0.37","0.75","0.04","0.32387334405254126","10","0.32387334405254126","0.33194709388330407"
"1","30","9","0.2","0.5","5.7","0.11","0.04","0.71","0.3036938652122079","10","0.32387334405254126","0.33194709388330407"
"1","40","19","0.64","0.09","6.3","0.2","0.33","0.9","0.08951770347960862","10","0.32387334405254126","0.33194709388330407"
"1","50","5","0.3","0.27","6","0.76","0.39","0.64","0.19360903419097614","10","0.32387334405254126","0.33194709388330407"
"1","60","22","0.4","0.52","7.6","0.47000000000000003","0.9","0.51","0.36096086027086216","10","0.36096086027086216","0.3494109694863946"
"1","70","8","0.99","0.34","7.800000000000001","0.68","0.14","0.9400000000000001","0.23016776112994553","10","0.36096086027086216","0.3494109694863946"
"1","80","5","0.91","0.11","6.2","0.4","0.97","0.23","0.08008719962715723","10","0.36096086027086216","0.3494109694863946"
"1","90","30","0.37","0.66","6.1","0.2","0.07","0.26","0.31025100432363667","10","0.36096086027086216","0.3494109694863946"
"1","100","18","0.81","0.06","7","0.38","0.19","0.92","0.06782611419567064","10","0.36096086027086216","0.3494109694863946"
"1","110","14","0.64","0.86","8.9","0.45","0.3","0.8200000000000001","0.23759244808739002","10","0.36096086027086216","0.3494109694863946"
"1","120","7","0.59","0.37","10","0.22","0.47000000000000003","0.07","0.2751929097786673","10","0.36096086027086216","0.3494109694863946"
"1","130","23","0.13","0.39","8.6","0.43","0.44","0.08","0.271435937632783","10","0.36096086027086216","0.3494109694863946"
"1","140","27","0.45","0.77","7.4","0.64","0.07","0.3","0.3308330642738685","10","0.36096086027086216","0.3494109694863946"
"1","150","10","0.96","0","5.3","0.04","0.24","0.84","0.048911681339634715","10","0.36096086027086216","0.3494109694863946"
"1","160","9","0.54","0.36","9.5","0.34","0.16","0.99","0.27359941033132806","10","0.36096086027086216","0.3494109694863946"
"1","170","20","0.3","0.2","9.4","0","0.3","0.8300000000000001","0.14624050526780757","10","0.36096086027086216","0.3494109694863946"
"1","180","14","0.92","0.35000000000000003","5.7","0.6900000000000001","0.93","0.23","0.24908590093868804","10","0.36096086027086216","0.3494109694863946"
"1","190","27","0.61","0.61","8.1","0.6","0.04","0.55","0.3666173758827115","10","0.3666173758827115","0.33833596776838226"
"1","200","13","0.9","0.06","7.800000000000001","0.49","0.45","0.52","0.06453221717294719","10","0.3666173758827115","0.33833596776838226"
"1","210","23","0.59","0.9500000000000001","7.4","0.89","0.96","0.75","0.1491073656929803","10","0.3666173758827115","0.33833596776838226"
"1","220","9","0.24","0.9500000000000001","6.2","0.05","0.9400000000000001","0.11","0.1498604146202171","10","0.3666173758827115","0.33833596776838226"
"1","230","5","0.79","0.22","7.6","0.8","0.79","0.53","0.18559482771674443","10","0.3666173758827115","0.33833596776838226"
"1","240","9","0.8","0.9400000000000001","8.8","0.9","0.2","0.56","0.1656817065446898","10","0.3666173758827115","0.33833596776838226"
"1","250","11","0.65","0.52","9.3","0.84","0.64","0.47000000000000003","0.3555329625117354","10","0.3666173758827115","0.33833596776838226"
"1","260","27","0.55","0.55","7.7","0.34","0.05","0.97","0.38439454224584246","10","0.38439454224584246","0.31192693761295526"
"1","270","13","0.89","0.73","9.3","0.67","0","0.21","0.3083518487264397","10","0.38439454224584246","0.31192693761295526"
"1","280","30","0.06","0.13","7.2","0.79","0.75","0.22","0.09194101056086867","10","0.38439454224584246","0.31192693761295526"
"1","290","15","0.49","0.6","7.9","0.9400000000000001","0.8200000000000001","0.26","0.3554863201483169","10","0.38439454224584246","0.31192693761295526"
