subsidy,farmSize,Income,Net_Prod,NCH_Patches,NCH_Strategy,NCH_Efficiency,Income_Dev,HS_Patches
0.0,0.08,-0.4771047389473393,0.8188212227951711,-0.7969263060166124,-0.9276803781399253,-1.0816336243602769,0.41031084938222795,1.1647332447595888
0.0,0.08,-1.0815122329963422,0.1511557753319102,-0.8057790052694113,0.01176224677396921,-0.6017588118114889,1.4962154860050079,0.4593619601582419
0.0,0.08,-1.0795729576143671,0.1532980174093322,-0.8024065484112022,-0.2244718635844947,-1.1278199493576302,1.6116691184242489,0.5453668965746317
0.0,0.08,-0.8368044097967071,0.4214749885829267,-0.8011418770893738,-0.5156441391426017,-0.8621545806955236,0.8401862055013877,0.7383057273186262
0.0,0.08,-1.2810421222973691,-0.06925713174508917,-0.8053574481621352,0.12896366586654207,-0.5543648193228748,1.5197429821242006,0.2935653717053503
0.0,0.08,-0.6811596041396429,0.5934097508708522,-0.8040927768403068,-0.7280717112478883,-0.7015044187918641,0.45937292397740026,0.9354957526383366
0.0,0.08,-0.8777446678606309,0.37624987805957033,-0.8002987628748215,-0.46803106263624383,-0.8069286524119227,0.8464114122680966,0.6977558713656513
0.0,0.08,-0.7321553641841827,0.5370767184645627,-0.8007203199820977,-0.6401706469284587,-1.0883665711365456,0.962921776298553,0.9060644055756926
0.0,0.08,-0.7119725352088073,0.5593719045295885,-0.8011418770893738,-0.7390593442878173,-0.9364066906474385,0.41590091257374046,0.8854624626318409
0.0,0.08,-1.2371570386534065,-0.02077898695601528,-0.8002987628748215,0.11980730499993592,-1.0274018283474247,1.598287903117516,0.37401105367657483
0.0,0.08,-0.5196969723366502,0.7717712393910469,-0.8024065484112022,-0.8709109407669613,-0.9382618938897935,0.28355812150874005,1.0983492063849623
0.0,0.08,-1.0624067792331797,0.1722608269094745,-0.7981909773384409,-0.28124130095745825,-1.0586575590619658,1.4293834030013641,0.5270540584023197
0.0,0.08,-0.8035494282465351,0.458210473095761,-0.7990340915529931,-0.5193066834892455,-0.7017097175837479,0.8999933882666495,0.7762394635327002
0.0,0.08,-0.9395860050413999,0.30793615847955313,-0.8011418770893738,-0.30138529486399385,-0.9557370077379767,1.2438248118257238,0.6899075121489464
0.0,0.08,-1.4016363210505813,-0.202472852041087,-0.8049358910548591,0.24250254061247173,-0.9871551223508939,1.5791245322012437,0.1421574418164191
0.0,0.08,-0.667225551395078,0.6088021569086277,-0.7994556486602693,-0.7500469773277456,-0.7952470979408646,0.3046657780537889,0.9041023157715182
0.0,0.08,-1.1058609127922574,0.12425873591538486,-0.8045143339475829,-0.5431132217424233,-1.1640028799599795,1.1990199201900449,0.526727043434958
